experiment_id,base_experiment_id,seed,output_suffix,comparable_group_id,model_name,fl_method,privacy,global_rounds,local_epochs,epochs,batch_size,learning_rate,weight_decay,selected_ckks_num_parameters,ckks_num_chunks,test_accuracy,test_macro_f1,test_weighted_f1,best_val_accuracy,best_epoch,best_round
A0_centralized_vit_base_10ep,A0_centralized_vit_base,,10ep,A0_centralized_vit_base_epochs10_vit_base_patch16_224_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,none,none,,,10.0,16.0,0.0001,0.0001,,,0.9619047619047619,0.9617393601860471,0.9617393601860469,0.9873015873015873,7.0,
A0_centralized_vit_base,A0_centralized_vit_base,,,A0_centralized_vit_base_epochs5_vit_base_patch16_224_bsunknown_lrunknown_wdunknown,vit_base_patch16_224,none,none,,,5.0,,,,,,0.9365079365079365,0.9380375737756953,0.9380375737756955,0.9555555555555556,4.0,
A1_fedavg_iid_vit_base_10r1e,A1_fedavg_iid_vit_base,,10r1e,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,,,0.9873015873015873,0.9873834684040469,0.9873834684040467,0.9904761904761905,,6.0
A1_fedavg_iid_vit_base_10r1e_s123,A1_fedavg_iid_vit_base,123.0,10r1e_s123,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9777777777777777,0.9776709839001275,0.9776709839001273,0.9873015873015873,,10.0
A1_fedavg_iid_vit_base_10r1e_s42,A1_fedavg_iid_vit_base,42.0,10r1e_s42,A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9650793650793651,0.964984168182166,0.9649841681821659,0.9936507936507937,,6.0
A2_fedavg_noniid_vit_base_10r1e,A2_fedavg_noniid_vit_base,,10r1e,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,,,0.9809523809523809,0.9810193803142317,0.9810193803142317,0.9936507936507937,,7.0
A2_fedavg_noniid_vit_base_10r1e_s123,A2_fedavg_noniid_vit_base,123.0,10r1e_s123,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9746031746031746,0.9746267010528888,0.9746267010528887,0.9904761904761905,,10.0
A2_fedavg_noniid_vit_base_10r1e_s42,A2_fedavg_noniid_vit_base,42.0,10r1e_s42,A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,none,10.0,1.0,,16.0,0.0001,0.0001,0.0,,0.9873015873015873,0.9871737052255088,0.9871737052255087,0.9904761904761905,,9.0
A3_fedavg_ckks_iid_vit_base_10r1e_chunked,A3_fedavg_ckks_iid_vit_base,,10r1e_chunked,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9746031746031746,0.9744533482655207,0.9744533482655204,0.9904761904761905,,10.0
A3_fedavg_ckks_iid_vit_base_10r1e_chunked_s123,A3_fedavg_ckks_iid_vit_base,123.0,10r1e_chunked_s123,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9873015873015873,0.987290993520137,0.9872909935201368,0.9936507936507937,,8.0
A3_fedavg_ckks_iid_vit_base_10r1e_chunked_s42,A3_fedavg_ckks_iid_vit_base,42.0,10r1e_chunked_s42,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9714285714285714,0.9712766326404496,0.9712766326404495,0.9904761904761905,,7.0
A3_fedavg_ckks_iid_vit_base_10r1e,A3_fedavg_ckks_iid_vit_base,,10r1e,A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunksunknown_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,,0.9746031746031746,0.9747803997386866,0.9747803997386867,0.9936507936507937,,7.0
A4_fedavg_ckks_noniid_vit_base_10r1e_chunked_s123,A4_fedavg_ckks_noniid_vit_base,123.0,10r1e_chunked_s123,A4_fedavg_ckks_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9777777777777777,0.9777317768041589,0.9777317768041588,0.9841269841269841,,8.0
A4_fedavg_ckks_noniid_vit_base_10r1e_chunked_s42,A4_fedavg_ckks_noniid_vit_base,42.0,10r1e_chunked_s42,A4_fedavg_ckks_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,fedavg,selected_layer_ckks,10.0,1.0,,16.0,0.0001,0.0001,16149.0,4.0,0.9809523809523809,0.9808886290890105,0.9808886290890104,0.9904761904761905,,9.0
N0_centralized_vit_base_nwpu_20ep_lr5e5_aug_ls_cosine,N0_centralized_vit_base_nwpu,42.0,20ep_lr5e5_aug_ls_cosine,N0_centralized_vit_base_nwpu_runknown_eunknown_vit_base_patch16_224_unknown_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,,,,20.0,16.0,5e-05,0.0001,,,0.9464399092970521,0.9462451491201801,0.9462451491201804,0.9463492063492064,19.0,
N0_centralized_vit_base_nwpu,N0_centralized_vit_base_nwpu,42.0,,N0_centralized_vit_base_nwpu_runknown_eunknown_vit_base_patch16_224_unknown_bs16_lr0.0001_wd0.0001,vit_base_patch16_224,,,,,10.0,16.0,0.0001,0.0001,,,0.8541496598639455,0.8536836721971309,0.8536836721971309,0.8596825396825397,4.0,
N1_fedavg_iid_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N1_fedavg_iid_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N1_fedavg_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,none,20.0,1.0,,16.0,5e-05,0.0001,0.0,,0.9514285714285714,0.9512439751705014,0.9512439751705011,0.953968253968254,,20.0
N2_fedavg_noniid_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N2_fedavg_noniid_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N2_fedavg_noniid_vit_base_nwpu_r20_e1_vit_base_patch16_224_noniid_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,none,20.0,1.0,,16.0,5e-05,0.0001,0.0,,0.9516553287981859,0.9514893699151151,0.9514893699151149,0.9517460317460318,,18.0
N2D01_fedavg_dirichlet01_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s123,N2D01_fedavg_dirichlet01_vit_base_nwpu,123.0,20r1e_lr5e5_aug_ls_cosine_s123,N2D01_fedavg_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,none,20.0,1.0,,16.0,5e-05,0.0001,0.0,,0.9385034013605442,0.9383839735321092,0.9383839735321094,0.9365079365079365,,19.0
N2D01_fedavg_dirichlet01_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N2D01_fedavg_dirichlet01_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N2D01_fedavg_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,none,20.0,1.0,,16.0,5e-05,0.0001,0.0,,0.9397278911564626,0.9395931883959363,0.9395931883959365,0.9428571428571428,,17.0
N2D_fedavg_dirichlet03_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N2D_fedavg_dirichlet03_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N2D_fedavg_dirichlet03_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha03_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,none,20.0,1.0,,16.0,5e-05,0.0001,0.0,,0.9458049886621315,0.9454827100305367,0.945482710030537,0.9492063492063492,,16.0
N3_fedavg_ckks_iid_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N3_fedavg_ckks_iid_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N3_fedavg_ckks_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks9_params34605_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,selected_layer_ckks,20.0,1.0,,16.0,5e-05,0.0001,34605.0,9.0,0.9501587301587302,0.9500983446447986,0.9500983446447987,0.9533333333333334,,14.0
N3HN_fedavg_ckks_iid_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N3HN_fedavg_ckks_iid_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N3HN_fedavg_ckks_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks9_params36141_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,selected_layer_ckks,20.0,1.0,,16.0,5e-05,0.0001,36141.0,9.0,0.9522448979591837,0.9521201528657106,0.952120152865711,0.9523809523809523,,19.0
N4D01_fedavg_ckks_dirichlet01_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N4D01_fedavg_ckks_dirichlet01_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N4D01_fedavg_ckks_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_selected_layer_ckks_chunks9_params34605_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,selected_layer_ckks,20.0,1.0,,16.0,5e-05,0.0001,34605.0,9.0,0.9435374149659864,0.9434378474327896,0.9434378474327895,0.9438095238095238,,19.0
N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s123,N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu,123.0,20r1e_lr5e5_aug_ls_cosine_s123,N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_selected_layer_ckks_chunks9_params36141_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,selected_layer_ckks,20.0,1.0,,16.0,5e-05,0.0001,36141.0,9.0,0.937641723356009,0.9374522206291164,0.9374522206291163,0.933968253968254,,20.0
N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu_20r1e_lr5e5_aug_ls_cosine_s42,N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu,42.0,20r1e_lr5e5_aug_ls_cosine_s42,N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_selected_layer_ckks_chunks9_params36141_bs16_lr5e-05_wd0.0001,vit_base_patch16_224,,selected_layer_ckks,20.0,1.0,,16.0,5e-05,0.0001,36141.0,9.0,0.9422222222222222,0.9421952545980617,0.9421952545980615,0.9434920634920635,,18.0
